time;lv Rx;lv Ry;lv Rz;lv Vx;lv Vy;lv Vz;sc Rx;sc Ry;sc Rz;sc Vx;sc Vy;sc Vz;rel dist;rel vel;stiff force
0.0;5737954.151627415;-937044.6039784409;3289208.6546731233;-3435.240842406553;2124.9274463158613;6598.06309949633;5737954.102782934;-937044.5737648449;3289208.748488662;-3435.240842406553;2124.9274463158613;6598.06309949633;0.1099999998631459;0.0;3300.000004105623
0.01;5737919.798856254;-937023.3546542695;3289274.635043984;-3435.313390270114;2124.9373882928335;6598.011073672417;5737919.749967213;-937023.3244131097;3289274.72894511;-3435.3223011198393;2124.942900252553;6598.028188731144;0.11010035227437653;0.02006764007041674;3296.989431768704
0.02;5737885.445359585;-937002.1052306598;3289340.614894644;-3435.3859453039418;2124.947334705102;6597.959061620453;5737885.396336943;-937002.0749068591;3289340.7090523764;-3435.4037507595767;2124.9583485766498;6597.993260538429;0.11040122697364972;0.04009869832760984;3287.963190790508
0.03;5737851.091137297;-936980.8557075443;3289406.594225313;-3435.458515146657;2124.957290277673;6597.907078011955;5737851.0418922575;-936980.8252461754;3289406.6888102056;-3435.4851827014936;2124.973785953464;6597.958298353583;0.1109020777087135;0.0600565499947393;3272.9376687385948
0.04;5737816.736189207;-936959.606084808;3289472.573036348;-3435.5311073923217;2124.967259707989;6597.855137432851;5737816.686633376;-936959.5754311943;3289472.6682181754;-3435.5665883716288;2124.9892070794285;6597.923285708632;0.11160199219004588;0.07990478394695388;3251.9402342986236
0.05;5737782.380515051;-936938.356362289;3289538.551328251;-3435.6037295849965;2124.9772476625626;6597.803254373038;5737782.330560605;-936938.3254621048;3289538.6472756993;-3435.647959252471;2125.004606685895;6597.888206244031;0.11249969278758562;0.09960722879292039;3225.0092163724316
0.06;5737748.024114491;-936917.1065397782;3289604.529101673;-3435.6763892069334;2124.9872587696755;6597.751443203695;5737747.973674335;-936917.075339149;3289604.6259820256;-3435.729286896294;2125.019979547382;6597.853043734267;0.11359353591353123;0.11912800949353176;3192.193922594063
0.07;5737713.6669871155;-936895.85661702;3289670.5063574063;-3435.7490936270124;2124.9972975874794;6597.699718078246;5737713.615975041;-936895.8250626215;3289670.6043362394;-3435.8105629833735;2125.035320517584;6597.81778219968;0.11488151965145667;0.1384317945957058;3153.5544104563
0.08;5737679.309132437;-936874.6065937139;3289736.483096384;-3435.8218502613036;2125.0073687033178;6597.648093240756;5737679.257463283;-936874.5746328677;3289736.5823372686;-3435.8917791407043;2125.0506244172398;6597.782405558275;0.11636129245192545;0.15748302638237946;3109.1612264422365
0.09;5737644.9505499;-936853.3564695154;3289802.4593196767;-3435.8946664120685;2125.017476634135;6597.596582716695;5737644.898139699;-936853.3240502826;3289802.559983887;-3435.972927123776;2125.0658861465704;6597.746897974856;0.11803016108300109;0.17624669281273586;3059.0951675099673
0.1;5737610.591238874;-936832.106244036;3289868.435028489;-3435.967549232415;2125.0276258046133;6597.545200245052;5737610.538005009;-936832.0733153106;3289868.537274713;-3436.053998856477;2125.081100709962;6597.7112439376715;0.11988509339388478;0.19468849699254126;3003.4471981834563
0.11;5737576.231198663;-936810.8559168437;3289934.4102241644;-3436.040505726295;2125.037820547173;6597.493959278339;5737576.17706001;-936810.8224284459;3289934.5142082144;-3436.1349864310973;2125.096263215969;6597.675428258418;0.12192271809568116;0.2127748571769429;2942.318457129565
0.12;5737541.870428497;-936789.6054874625;3290000.3849081798;-3436.113542748507;2125.048065101973;6597.442872982583;5737541.81530558;-936789.5713902318;3290000.4907827023;-3436.2158821083267;2125.1113688773125;6597.639436072236;0.12413932335924643;0.2304729067688506;2875.820299222607
0.13;5737507.508927534;-936768.3549553725;3290066.3590821493;-3436.1866670046943;2125.0583636169085;6597.391954237332;5737507.45274268;-936768.3202012614;3290066.4669963364;-3436.296678317255;2125.1264130108802;6597.603252837714;0.1265308573246608;0.24775049431706456;2804.0742802601762
